iter	Passed	Remaining
918	31549	140101
919	31581	140056
920	31613	140012
921	31643	139960
922	31674	139911
923	31707	139868
924	31739	139825
925	31772	139784
926	31810	139769
927	31842	139723
928	31875	139684
929	31908	139641
930	31937	139584
931	31968	139536
932	32003	139506
933	32038	139472
934	32070	139431
935	32102	139387
936	32133	139337
937	32166	139295
938	32198	139251
939	32230	139206
940	32262	139165
941	32300	139144
942	32332	139101
943	32365	139060
944	32396	139015
945	32427	138964
946	32460	138924
947	32494	138888
948	32525	138843
949	32557	138798
950	32590	138756
951	32620	138705
952	32650	138651
953	32683	138614
954	32716	138573
955	32750	138540
956	32784	138504
957	32817	138461
958	32850	138424
959	32880	138371
960	32911	138322
961	32945	138290
962	32977	138246
963	33013	138220
964	33046	138176
965	33077	138131
966	33112	138099
967	33145	138060
968	33178	138020
969	33212	137987
970	33243	137937
971	33274	137890
972	33305	137844
973	33338	137801
974	33372	137770
975	33405	137729
976	33436	137679
977	33467	137632
978	33498	137586
979	33527	137531
980	33558	137482
981	33589	137437
982	33621	137394
983	33651	137343
984	33682	137296
985	33716	137260
986	33747	137211
987	33781	137175
988	33816	137148
989	33848	137102
990	33880	137061
991	33913	137021
992	33943	136971
993	33973	136920
994	34006	136879
995	34039	136842
996	34069	136789
997	34100	136744
998	34132	136701
999	34163	136653
1000	34194	136608
1001	34227	136569
1002	34259	136527
1003	34291	136483
1004	34322	136437
1005	34352	136386
1006	34383	136337
1007	34413	136289
1008	34445	136246
1009	34478	136206
1010	34514	136180
1011	34543	136126
1012	34573	136077
1013	34605	136032
1014	34635	135983
1015	34666	135937
1016	34700	135903
1017	34730	135853
1018	34760	135800
1019	34791	135754
1020	34825	135721
1021	34863	135701
1022	34900	135677
1023	34936	135653
1024	34966	135602
1025	34999	135561
1026	35032	135524
1027	35064	135482
1028	35095	135438
1029	35130	135404
1030	35163	135367
1031	35194	135321
1032	35227	135284
1033	35249	135201
1034	35270	135116
1035	35291	135034
1036	35313	134953
1037	35336	134878
1038	35370	134844
1039	35407	134819
1040	35438	134777
1041	35468	134726
1042	35498	134675
1043	35529	134632
1044	35561	134589
1045	35595	134556
1046	35628	134518
1047	35661	134479
1048	35690	134426
1049	35724	134392
1050	35754	134343
1051	35787	134306
1052	35818	134261
1053	35854	134231
1054	35885	134186
1055	35918	134148
1056	35948	134102
1057	35977	134046
1058	36010	134012
1059	36046	133983
1060	36078	133944
1061	36110	133900
1062	36143	133864
1063	36153	133739
1064	36185	133698
1065	36216	133654
1066	36250	133621
1067	36281	133576
1068	36314	133538
1069	36344	133488
1070	36372	133433
1071	36403	133388
1072	36437	133356
1073	36471	133322
1074	36505	133288
1075	36537	133245
1076	36569	133205
1077	36600	133161
1078	36633	133124
1079	36667	133089
1080	36710	133087
1081	36744	133056
1082	36774	133007
1083	36805	132961
1084	36823	132868
1085	36855	132828
1086	36886	132785
1087	36923	132761
1088	36965	132755
1089	37001	132729
1090	37030	132679
1091	37061	132635
1092	37097	132606
1093	37136	132590
1094	37169	132555
1095	37201	132514
1096	37231	132464
1097	37261	132418
1098	37291	132368
1099	37322	132326
1100	37356	132291
1101	37388	132251
1102	37419	132208
1103	37451	132164
1104	37480	132115
1105	37510	132065
1106	37542	132026
1107	37576	131991
1108	37610	131957
1109	37641	131916
1110	37671	131867
1111	37704	131830
1112	37737	131793
1113	37769	131752
1114	37802	131714
1115	37834	131674
1116	37866	131633
1117	37897	131589
1118	37926	131541
1119	37958	131498
1120	37989	131456
1121	38020	131410
